Name,Average retail price (cents/kWh),Net summer capacity (MW),Net generation (MWh),Total retail sales (MWh)
Alabama,10.18,28911,142733330,85585166
Alaska,20.02,2774,6595818,5969339
American Samoa,20.02,2774,6595818,5969339
Arizona,10.73,27596,108604620,81219990
Arkansas,9.1,14832,61100068,48663142
California,19.65,81184,197165106,247249865
Canal Zone,20.02,2774,6595818,5969339
Colorado,10.9,18296,56838472,56351209
Connecticut,18.32,10112,44079943,27737606
Delaware,10.5,3273,4305126,11479655
District of Columbia,12.81,48,211067,10083372
Florida,10.67,64610,246450375,241562082
Georgia,10.43,38250,124200528,137363952
Guam,20.02,2774,6595818,5969339
Hawaii,30.31,3013,9181831,8936482
Idaho,8.17,5076,16836473,25285616
Illinois,10.14,45879,181524459,135688833
Indiana,10.36,26842,94164796,99740046
Iowa,9.13,21771,67207008,52893269
Kansas,10.47,18432,56630703,40491786
Kentucky,9.12,17583,69908411,74516986
Louisiana,8.82,24866,98715313,90819346
Maine,13.96,5026,10908144,11584674
Maryland,11.48,13006,38235713,59303974
Massachusetts,19.06,12747,19477347,50798388
Michigan,12.93,30141,115513130,99813281
Minnesota,11.08,18286,59195769,66589168
Mississippi,9.5,14605,67723497,48015364
Missouri,9.85,21835,76941410,77763041
Montana,9.5,6067,24947923,14961561
Nebraska,8.84,10256,37910898,32341170
Nevada,8.58,12863,41754584,39032042
New Hampshire,17.37,4463,17193254,10867268
New Jersey,14.01,17471,61433792,73070466
New Mexico,9.79,10806,35192365,25393743
New York,16.11,39890,124944935,141423778
North Carolina,9.29,35020,129923364,135693077
North Dakota,8.65,9503,43032378,22863107
Ohio,9.76,29283,125948008,147717865
Oklahoma,8.52,29824,80754586,64525137
Oregon,8.95,16917,61016874,54135205
Pennsylvania,9.97,49766,241331434,143340154
Puerto Rico,20.02,2774,6595818,5969339
Rhode Island,18.44,2131,9322451,7398004
South Carolina,9.96,24268,98390441,79792136
South Dakota,10.43,6280,17322409,13041391
Tennessee,9.78,21401,79057209,99621137
Texas,9.14,139751,481844256,435627878
Utah,8.34,9518,42565645,32677627
Vermont,16.34,834,2107703,5412696
Virginia,9.14,28515,93478182,125245196
Virgin Islands of the U.S.,20.02,2774,6595818,5969339
Washington,8.75,30609,110808401,88198668
West Virginia,8.87,14907,65836063,32777988
Wisconsin,11.01,16428,64276480,69426615
Wyoming,8.25,10096,43460744,15784712
U.S. Total,11.1,1145857,4108302835,3805874253
