date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2018-01-01 01:00:00,-19.4,54.51,2.1,350.0,0.0,0.0,0.0
2018-01-01 02:00:00,-20.0,56.33,1.05,350.0,0.0,0.0,0.0
2018-01-01 03:00:00,-22.2,63.93,0.0,299.17,0.0,0.0,0.0
2018-01-01 04:00:00,-22.2,63.93,3.1,320.0,0.0,0.0,0.0
2018-01-01 05:00:00,-21.4,61.04,2.85,330.0,0.0,0.0,0.0
2018-01-01 06:00:00,-21.7,60.89,3.6,320.0,0.0,0.0,0.0
2018-01-01 07:00:00,-21.1,61.04,3.1,340.0,0.0,0.0,0.0
2018-01-01 08:00:00,-21.1,61.04,2.3,345.0,4.0,49.5,3.5
2018-01-01 09:00:00,-19.4,54.51,3.1,320.0,81.0,378.5,34.0
2018-01-01 10:00:00,-17.2,47.0,5.1,320.0,216.5,662.5,51.5
2018-01-01 11:00:00,-16.4,44.99,4.85,340.0,314.5,672.5,83.0
2018-01-01 12:00:00,-14.4,40.43,6.2,330.0,412.0,860.0,70.0
2018-01-01 13:00:00,-13.3,40.75,5.1,320.0,414.0,849.0,67.0
2018-01-01 14:00:00,-12.75,39.93,5.9,300.0,342.5,697.0,81.5
2018-01-01 15:00:00,-11.7,37.39,4.6,300.0,251.5,590.5,78.5
2018-01-01 16:00:00,-12.2,43.52,3.6,290.0,144.0,506.5,52.0
2018-01-01 17:00:00,-13.05,45.72,2.55,300.0,25.5,160.0,15.5
2018-01-01 18:00:00,-15.0,53.01,0.0,291.82,0.0,0.0,0.0
2018-01-01 19:00:00,-16.7,59.13,0.0,212.0,0.0,0.0,0.0
2018-01-01 20:00:00,-16.7,59.13,0.0,226.67,0.0,0.0,0.0
2018-01-01 21:00:00,-17.8,61.82,0.0,226.67,0.0,0.0,0.0
2018-01-01 22:00:00,-19.4,68.51,0.0,256.67,0.0,0.0,0.0
2018-01-01 23:00:00,-19.15,70.63,0.0,350.0,0.0,0.0,0.0
2018-01-02 00:00:00,-20.6,76.87,0.0,274.44,0.0,0.0,0.0
2018-01-02 01:00:00,-18.9,72.76,0.0,282.22,0.0,0.0,0.0
2018-01-02 02:00:00,-17.25,67.55,1.55,290.0,0.0,0.0,0.0
2018-01-02 03:00:00,-13.9,53.31,6.2,300.0,0.0,0.0,0.0
2018-01-02 04:00:00,-14.4,53.17,5.7,320.0,0.0,0.0,0.0
2018-01-02 05:00:00,-15.0,54.61,4.4,330.0,0.0,0.0,0.0
